das Stadtfest;mestská slávnosť
/die Veranstaltung;akcia, podujatie
die Unterkunft;ubytovanie
kennen|lernen;spoznať, zoznámiť sa
/passen;hodiť sa, pristať
/passieren;prihodiť sa, stať sa
um|ziehen;presťahovať sa
unternehmen;podniknúť
/wach;bdelý, nespiaci
werden;stať sa
der Wettbewerb;súťaž
/aus|fallen;vypadnúť
bitten;prosiť
/das Festival;festival
klingen;znieť, zvučať
teil|nehmen;zúčastniť sa
treffen;stretnúť
wahrscheinlich;pravdepodobne
/die Altersgruppe;veková skupina
aus|drucken;vytlačiť
aus|halten;znášať, vydržať
/aus|steigen;vystúpiť
/die Bastelwerkstatt;tvorivá dielňa
das Boot;čln
/die Daten;dáta
der Eingang;vchod, vjazd
/der Eintritt;vstup, vstupné
erreichen;dostať sa, doraziť
der Erwachsene;dospelý, dospelá - M.rod
der Hafen;prístav
kostenlos;bezplatný, zadarmo
