kennengelernt;spoznať, zoznámiť sa
gepasst;hodiť sa, pristať
passiert;prihodiť sa, stať sa
umgezogen;presťahovať sa
unternommen;podniknúť
geworden;stať sa
ausgefallen;vypadnúť
gebeten;prosiť
geklungen;znieť, zvučať
teilgenommen;zúčastniť sa
getroffen;stretnúť
ausgedruckt;vytlačiť
ausgehalten;znášať, vydržať
ausgestiegen;vystúpiť
erreicht;dostať sa, doraziť
stattgefunden;konať sa, uskutočniť sa
wiederholt;opakovať
/angekommen;prísť, doraziť
gebucht;rezervovať
gereicht;stačiť
storniert;stornovať, zrušiť
getan;robiť, konať
umgesteigen;prestúpiť
gespült;umývať
verdient;zarábať, zarobiť
ausgefüllt;vyplniť
besetzt;obsadiť
geschrien;kričať
